SM1_1	144	75	363	306
SM1_2	150	312	369	543
SM1_3	162	561	381	792
SM1_4	423	75	642	306
SM1_5	435	288	654	519
SM1_6	423	531	642	762
SM1_7	669	54	918	291
SM1_8	648	291	897	528
SM1_9	672	546	921	783
SM1_10	1104	48	1353	285
SM1_11	1107	282	1356	519
SM1_12	1089	537	1338	774
SM1_13	1395	51	1635	255
SM1_14	1383	318	1581	522
SM1_15	1407	552	1581	753
SM1_16	1671	45	1869	264
SM1_17	1686	306	1890	477
SM1_18	1680	546	1866	741
SM2_1	141	1068	351	1323
SM2_2	177	1536	375	1785
SM2_3	417	1077	615	1305
SM2_4	423	1314	621	1542
SM2_5	426	1581	624	1809
SM2_6	687	1284	909	1518
SM2_7	684	1542	906	1776
SM2_8	1143	1026	1365	1260
SM2_9	1131	1290	1353	1524
SM2_10	1140	1542	1362	1776
SM2_11	1395	1029	1617	1263
SM2_12	1386	1293	1608	1527
SM2_13	1398	1548	1620	1782
SM2_14	1668	1041	1890	1275
SM2_15	1662	1287	1884	1521
SM2_16	1662	1530	1884	1764
SM3_1	168	2055	399	2280
SM3_2	156	2298	399	2538
SM3_3	153	2550	411	2811
SM3_4	420	2031	678	2292
SM3_5	417	2295	675	2556
SM3_6	447	2529	705	2790
SM3_7	705	2028	963	2289
SM3_8	684	2286	942	2547
SM3_9	696	2505	954	2766
SM3_10	1110	2028	1368	2289
SM3_11	1122	2265	1380	2526
SM3_12	1113	2502	1371	2763
SM3_13	1386	2004	1644	2265
SM3_14	1368	2259	1626	2520
SM3_15	1374	2517	1632	2778
SM3_16	1647	2016	1905	2277
SM3_17	1659	2271	1917	2508
SM3_18	1659	2511	1917	2748
SM4_1	237	3003	426	3279
SM4_2	264	3273	465	3495
SM4_3	267	3519	474	3780
SM4_4	495	3012	702	3273
SM4_5	513	3258	720	3519
SM4_6	534	3513	741	3774
SM4_7	747	2952	990	3249
SM4_8	777	3219	990	3483
SM4_9	1236	2982	1449	3246
SM4_10	1224	3240	1437	3504
SM4_11	1506	3009	1719	3273
SM4_12	1509	3273	1722	3537
SM4_13	1773	2991	1986	3255
SM4_14	1797	3261	2010	3525
